2024-07-04 11:16:31.976 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData: {'packHead': 21930, 'frameLength': 125, 'frameLengthNot': 65410, 'serialNumber': 74, 'dataObject': 1, 'frameCode': 30, 'data': b'\x00\x00\x00}\x00\x00\x1ao\x00\x00\x00\xcf\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x002\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xb2\x05\rU\xaa\x00\x1e\xff\xe1K\x01\x1f\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'frameCRC': 18839, 'frameEnd': 13}
2024-07-04 11:16:31.978 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData error: unpack requires a buffer of 120 bytes
2024-07-04 11:17:07.048 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData: {'packHead': 21930, 'frameLength': 125, 'frameLengthNot': 65410, 'serialNumber': 144, 'dataObject': 1, 'frameCode': 30, 'data': b'\x00\x00\x00}\x00\x00\x1ap\x00\x00\x00\xcf\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x002\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00<K\rU\xaa\x00\x1e\xff\xe1\x91\x01\x1f\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'frameCRC': 46294, 'frameEnd': 13}
2024-07-04 11:17:07.054 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData error: unpack requires a buffer of 120 bytes
2024-07-12 13:51:06.489 | INFO     | robot_server.dependent_library.log:info:24 - MRC240004A registe to mqtt server
2024-07-12 13:51:06.501 | INFO     | robot_server.dependent_library.log:info:24 - Connected to MQTT Broker!
2024-07-12 13:51:07.324 | INFO     | robot_server.dependent_library.log:info:24 - {"payload":{"period":30000,"name":"offline"},"msgId":"24","id":"MRC240004A","cmd":"/api/v1/statusCfg/","tick":1720763467233}
2024-07-12 13:51:07.326 | INFO     | robot_server.dependent_library.log:info:24 - POST /api/v1/statusCfg, period = 30000
2024-07-12 13:51:07.728 | INFO     | robot_server.dependent_library.log:info:24 - {"payload":{"period":10000,"name":"idle"},"msgId":"25","id":"MRC240004A","cmd":"/api/v1/statusCfg/","tick":1720763467740}
2024-07-12 13:51:07.730 | INFO     | robot_server.dependent_library.log:info:24 - POST /api/v1/statusCfg, period = 10000
